dyu,fr,dyu_len,fr_len
sidalis tun dali do a ra,cydalise en était sûre,24,22
n tina ya ye kunu tugu,je lavais encore vu hier,22,24
wɔɔrɔ,six,5,3
jama ka caa yan,là il y a du monde,15,18
a tun bi fɛ n ka dɔnkili la,il voulait que je chantasse,27,27
n ti na fɔ a ye,je ne vous le dirai pas,15,23
n ti se ka son ni ma,je ne peux pas le tolérer,20,25
a kana n tɔrɔ,ne me dérangez pas,13,18
ka sɔrɔ n kɛra mɔgɔ sumani ye,je suis plutôt timide,29,21
belebeleba walima fitini ,le grand ou le petit ,25,21
n ti da yɛrɛ,je n’ouvre pas la porte,12,23
n bi yafa dari a fɛ,je vous demande pardon,19,22
tile kuturu bɛɛ,toute la journée,15,16
a ye sanji tan ni wɔɔrɔ le ta,cela dura seize ans,29,19
nɔnɔ dumu kaɲi,cest bon de manger du lait,14,26
dji kongon bi aw ra,vous avez soif,19,14
wo bâ,un énorme trou,5,14
ne toum lara la,si je le croyais ,15,17
kanou lo,ah c’est de l’amour ,8,20
mina a bi ni fora nyé,pourquoi me ditelle ça mère ,21,28
a fari man di a râ wa,vous ne vous sentez pas bien ,21,29
djoumè lo ka fissa,lequel est mieux ,18,17
nounou bi bô dougou djoumè le,doù sontils originaire ceuxlà ,29,30
um bamousso yin dèmè,ma mère m’a beaucoup aidé,20,25
laban na ayi mou fô,enfin qu’atil dit qu’atil fait ,19,31
a tounbi mèlè kè gin nan,il chassait presque l’ange,24,26
a bi seka en welé kofè wa,pouvezvous retéléphoner plus tard ,25,34
nelo bi na a sara,cest moi qui vous récompenserai,17,31
a kagni,bien,7,4
bon non non nan ka bon,ses chambres sont vastes,22,24
fenn youman lo,c’est une bonne chose,14,21
a minè,tiens,6,5
n tun ma miri,je ne puis l’imaginer,13,21
i kankan ka bara kɛ,j’ai à travailler…,19,18
mɛ a nin tala,mais vous n’y êtes pour rien,13,28
sirajan dɔktɛr suzan nowɛl fu kɔnɔntɔn fu fu sɛngɔ saba,seize rue longué docteur suzanne noël zéro neuf zéro zéro zéro foix,55,67
chili yi dougou le yé,il sagit de la du chili aux championnats du monde,21,49
a nomena segɔn naani grami awar la,il est par ailleurs nommé pour quatre grammy awards,34,51
a ya filɛ nunuw barakɛ yɔrɔ nunu bi bara cama di an ka jeniw ma,pourtant ces pme offrent de réelles perspectives à nos jeunes,63,61
a ka guvɛrneman provɛnsiyal de lantoriya creye ale ni jamana ka barakɛyɔrɔ caaman,il fut fondé par le gouvernement provincial de lontario et diverses donations publiques,81,87
min ka antreprizuw baracogo kalan dɔktɛr le a yi diplomu sɔrɔ inivɛsite de grenɔble la,docteur en sciences de gestion il est diplômé de luniversité de grenoble,86,72
kalot katlolik ɲɔmɔgɔw bi zonkɛ ɔrtizɛn,elle y massacre les chefs catholiques faits prisonniers à orthez,39,64
sira bâ ni lo bi ta bo kilé ben yoro la,j’ai suivi la coulée principale qui rejoint la départementale à l’ouest,39,71
ni bègin fasson bi sorô fara gê djamana na râ,cette espèce se rencontre dans le sud de leurope,45,48
milliard tan ani fila,aux douze milliards du programme d’investissements d’avenir,21,59
wuluw tun bi giringirina kama sɔrɔ o yo balobaga ye,eperdus des chiens se faufilaient ou bien jappaient contents de revoir leurs maîtres,51,84
sitadi nin kɔnɔ boliyɔrɔ kelen bi sɔrɔ ani ekranba fila ka fara dɔnkili minɛ kura kan,le stade contient également une piste dathlétisme deux écrans géants ainsi quune sonorisation moderne,85,101
tur laban nin a bi kɛ ni eleminasjɔn ye maci kelen na,le tour final seffectue par élimination sur un match,53,52
mɔgɔkura minw nana sɛrkle la ale yi bengani kɛ ɛnstiti iksmɛn zavie ka mɔgɔ la,le nouveau cercle intérieur a attaqué les xmen à linstitut xavier,78,65
rapɔrtɛr ka kumacogo nin ma an kɔnvɛnki kuwa,l’argumentation du rapporteur nous paraît convaincante,44,54
a bi kɛlɛkɛ ka taga disikrimibatiɔn kora ale ni miniw bi bien mɔgɔw kan,il lutte contre le racisme l’antisémitisme et toute autre forme de discrimination,71,81
satelit kɔnɔ o kɛnɛni bɛ metise adraste amalte et tebe ,les satellites internes sont métis adrastée amalthée et thébé,55,61
tumadɔra a bi nin kɔrɔsi vanto ka sira cogoyasijumana,au bout d’un moment on distingue ceci voix de ventroux — comment ,53,65
min tun ye a preme minisiri ka adjoint ye nikura wendkura,le vicepremier ministre nguyễn xuân phúc sera promu premier ministre,57,68
a ya ka kalan kilan bɛkɛ bon gɛrɛfɛ,il a passé la plus grande partie de sa scolarité près de bonn,35,61
dominatiɔn evanzelik dɔ bi sira minisiriw ka musow ma egilizi kɔnɔ,certaines dénominations évangéliques autorisent officiellement le ministère des femmes dans les églises,66,103
koliniyɛn itilizenile komi yalasira ɛntɛrnɛtiw fɛ,la colinière est donc utilisée comme but de promenade pour les internes,49,71
debuse ry nɔtr dam o ya deplas ka ta nɔr fan na,le débouché de la rue notredame est déplacé vers le nord,47,56
o yi modɛl minu prezante foo ɲanyɔrɔla o bɛɛ yi modɛl ye min bɔra bazik la,les modèles présentés jusquici sont des modèles de la logique classique,74,71
segɔnd gɛr mɔndial ka kɛlɛ kɔfɛ tiyɛni minuw kɛra segɔnd gɛr mɔndial kɔfɛ o yi gar nin dilan,après les bombardements de la seconde guerre mondiale la gare est réparée,92,73
sorasiw bɔra ran nin na min ɲagamina,des soldats quittèrent le rang qui fléchit,36,42
tan ni fila ɛnpas margerit de viyɛn ,douze impasse marguerite de vienne,36,34
truwa san ka kin kolɔt ,trois cent soixantehuit rue des collots,23,39
a ka yɛlɛkoɲan tuma bɛɛ banna ka albɛr roman truble,son air malicieux détendu toujours souriant ne finissait pas de troubler albert roman,51,85
paris lo bi yafè,cest le gouverneur militaire de paris qui est responsable de lorganisation générale du défilé,16,93
bentilo lo koulo kè,cest lacteur fabrizio bentivoglio qui joue le rôle de nava,19,58
mousso ni bi bara kè kodjouhou,elle travaille ensuite comme experte en dommage pour une compagnie d’assurances,30,79
aka djatigi la bi naple le,de felice naquit dans une famille originaire de naples,26,54
tama bâ ga ou yi sira kiura bô sangan so kan,les marcheurs de lespace ont également installé une rampe sur le nouveau compartiment,44,85
sisan bara kè baga mana,en effet pour ses partisans elle permet de lever lambiguïté de certaines énumérations,23,85
a bi na yen kodjougou,réformes que vous avez largement alimentées ce comité apportera son expertise un regard plus élevé,21,98
a kèra tchè fari yé,tu es un brave capitaine d’aventure,19,35
ni bèyé mounyé ten,en conséquence de quoi la maladrerie resta sous juridiction de labbaye,18,70
bè bi tèmè oyorô fan nan le,les mêmes titres de transport sont valables dans tous les bus et tramways,27,73
yôrô bissaba nan,trente rue nozières quatrevingtdixsept mille cent dix pointeàpitre,16,66
a toumbi koumana ka kandjigi,la plus grande disait d’une voix très basse — les cognes sont venus,28,68
formation nounou lo,de nombreuses formations de grès rouge sont observables ainsi que des dunes,19,75
sissan député nounou bâ ni lo drapo gêma man,mais la majorité des députés y compris les orléanistes refuse toujours le drapeau blanc,44,87
a segi râ olimpio râ,il rejoint lolympiakos en mais est directement prêté à paniónios pour une saison,20,80
a bi donné fara yongon kan,un enregistreur permet de stocker les données collectées en attendant quelles soient retransmises,26,97
kontenèr dow yera kènè ma,un container a été retrouvé entrainé par le courant au niveau des cataractes,25,76
anka efforts man tcha,nous avons rarement l’occasion de faire des efforts d’élégance,21,62
a toumbi filè li kèra nafolo sira kan,elle gardait cependant la nue propriété du bien pour ne pas déposséder ses neveux,37,81
ko dow ta fè ka kè wa,vous n’avez pas des trucs de prévu je sais pas une partie de belote à jouer ,21,76
samian bi daminè na yananman,la saison régulière commence très bien pour la franchise,28,56
ati karo la tchogo famou,faut dire il est pas trop loupé côté carrosserie,24,48
mogo mounou nana kalifa o bi bô angola a ni rouanda,les autres réfugiés et demandeurs dasile au congo proviennent du rwanda et de langola,51,85
oka dayèlè ni lo,leurs ouvertures sont agrémentées dun petit fronton triangulaire,16,64
avenu den worô,six avenue du clos zéro six deux cent soixantedix à villeneuveloubet,14,68
obi moulo forô do,il y a très peu dautres récits de lexécution,17,44
ne lo yi médium ni dougou râ,je suis le medium universel où ces qualités s’isolent et sont pour moi,28,70
bara kelé lo ma gnè a fè gninan,le seul échec de cette saisonlà fut quil perde son titre national,31,65
a tounti nana dè,elle ne fait pas partie du calendrier de lunion cycliste internationale,16,71
na gni bibli kouma filè an bi na akili sôrô,selon la bible jéhu est un général de larmée du roi joram,43,57
oyi saba farakan deluxe la,trois ont été ajoutées lors de la sortie de lédition deluxe,26,59
acide necide lo,les acides qui estérifient les nécines sont appelés acides néciques,15,67
fo kalan ni ka se yananman,il faut que les enseignants continuent à les inciter à le faire,26,63
ladegi ni bôra grec,mimesis est une imitation venant directement du grec,19,52
ayi matchi kelé lo joué,il ne joue quun seul match en championnat avec ce club,23,54
a yana ko kahier bi a fè,il pense avoir un livre sur les vikings,24,39
kouma yi alé tayé,la parole est à monsieur éric coquerel pour soutenir l’amendement numéro cent quatrevingts,17,90
o bi na décidé a ka gnana magna la,ils donneront ainsi plus qu’un avis puisqu’ils décideront de son existence,34,74
kilanikɛbaga min bi kɔfɛ ba yɛrɛkɛ komi proxsi,le serveur frontal agit donc comme un proxy,46,43
a tun kɛra ɲamɔgɔ sikutimi ka sora,il fut président de la compagnie de pulpe de chicoutimi,34,55
dɔw ba miri ko ni meziri ni te famil arange,certains déplorent que cette mesure cible uniquement les familles monoparentales au détriment des couples,43,105
komini ka baramin bi ɲafɛ oleye jigɛ minɛ ye,lactivité principale de la commune est le commerce de la pêche,44,62
kamele ni gilanan ni zao et al,la famille a été créée par zhao et al,30,37
haa misi niw o bi jii mi san bɛ,ah monsieur les vaches… ça avale du verre à tout âge…,31,53
ruwa merovɛnzin tuman rɔyom dɔstrazi ta le,au temps des rois mérovingiens le nordgau appartenait au royaume daustrasie,42,75
a bi kuma a bi yɛlɛma dɔɔni,elle parle elle remue un peu ,27,29
kɛpu ka di n ue ɲanama,j’aime bien les crêpes,22,22
nin bɔra o cɛma kabi tuma djan,lîle a été déclarée depuis sanctuaire naturel,30,45
alɔr ke pituwa la sɛntɛn de oriyɛntal bi sigɛn na,par contre le poitou la saintonge orientale et langoumois ont moins souffert,49,76
o ba fɔ ko pikini tɔgɔ ni bɔɔra picardo ra,on dit que le nom picquigny est à lorigine du nom picardie,42,58
nin sifri nunu a bi sitiye pilaso filanan aprɛ elbef ra,ces chiffres la situent à la deuxième place de la ligne après elbeuf,55,68
mikav ye sira di a ma a bi ta mikav ra,en août sous les ordres de carrade il part pour le havre,38,56
balbe de ben ka kalan so min no a bɔra lenigrad ka koregrafi kalansora,lécole de ballet de perm nétait alors quune antenne de lécole chorégraphique de léningrad,70,89
ekologi grupu ni o bi o yɛrɛ fo madam la minisiri ka fɔyara,le groupe écologiste se félicite des amendements présentés par madame la ministre,59,81
a tun ye barani kɛ a yɛrɛma,elle avait fait le travail ellemême,27,35
a ka an ka mɛtri kɔnɔfɔndi ni grape mezin dɔ ye,il confond mon maître et une grappe de raisin jusquà la nausée,47,62
cogoya wɛrɛla a ye moliɛr ben ka raju yira a ra,un autre « vous avez rabaissé molière en le montrant jaloux,47,59
marko ale kɔseegina ɛntorogatoirila,marcof alors procéda à linterrogatoire,35,38
kuma je an ka misie le presidan ta ye min yan ka wari ko ɲamɔgɔ ye,la parole est à monsieur le président de la commission des affaires économiques,66,79
a ye matasi société welen sabu ka see ka cɛ fila jɛni kɛlɛ,elle contacta la mattachine society pour trouver des homosexuels affirmés,58,73
sisan veremi le bi pilasi naani nan ta beteti kɔfɛ,cest désormais verini qui occupe la quatrième place derrière tony röhrl et bettega,50,82
nin yɔrɔnin le ye oksidantali ye ka tɛmɛ mɛri baltik kan,cest la partie la plus occidentale de la mer baltique,56,53
o yi nin dumuni nin servi mɔgɔw ye kɔm dumuni dakɔmpaɲeman kuwa ale ni fɔlɔfɔlɔ dumuni nunu dɔ kuwa,il est généralement servi comme accompagnement avec des sarmale ou dautres plats traditionnels,99,94
bɛgɛ suni ɛkpoze ni lo mize natiɔnal la,la dépouille de l’animal est aujourdhui exposée au musée des sciences naturelles d’orléans,39,90
sisan kebekoi nunugu o bi mirila ko kebɛk ka sɛnɛ degun caman bara,de plus les commissaires jugent que lagriculture québécoise souffre danémie,66,75
pasimɛr li fila,deux pachymère liv,15,18
math ale ni bi jue bɛrgaf mɛ a retur bi jue ɔrtadaw na,le match aller se déroule à belfast le retour à portadown,54,57
n kaɲi ka piyɛsi tɔ nunu filɛ nin hakilisigi ye,les autres pièces devraient être proportionnées,47,47
kalvo ale lo yi roman nunu ilistre,calvo a également illustré des romans des contes animaliers et des publicités,34,77
flɛrɛ de prɛ drɔn,à part le flairant de près,17,26
ɛskaliye sira burbɔn larsanbul la,rue de lescalier à bourbonlarchambault,33,38
filmubɔ yɔrɔ dɔ ba gwɛrɛ fɛ,il y a un cinéma à proximité ,27,29
a ka sutra yɔrɔ ma lɔn fɔlɔ,son lieu d’inhumation est inconnu,27,33
a ka bon a bɔra koketiye pelazik ra,son habitat est côtier et pélagique,35,35
a kɔmasera ka toga poezi sɛbɛ a san wolonfila,elle commence à écrire de la poésie à lâge de sept ans,45,54
a sitrala mɔmark ka kaburutura,elle repose au cimetière de montmartre,30,38
kruwa dɔt ka kin dɔ,un avenue de la croix dhors,19,27
cen luziyɛn yi zene ye min bi livrɛsɔn kɛ pekɛn a bi vi pekɛn ,chen linhu est un jeune livreur vivant à pékin,62,46
a ka cɛɲan wilenɲan nin bi dusujaya le yira,son visage dhomme brun se permit la gaieté,43,42
kuma ye madam yɛlmayɛl bronf ta ye walima ka amandeman nimoro sandisinɛfu dɛmɛ,la parole est à madame yaël braunpivet pour soutenir l’amendement numéro cent cinquanteneuf rectifié,78,100
antuka aw ya dusudia parseke a ka laɲiniw a bi na dafa,en tout cas soyez certain que vos objectifs sont satisfaits par le droit existant,54,81
a banbana ka bɔ grɔt idem na,elle parvient à ressortir de la grotte indemne,28,46
lon bɛ sɔgɔma a tun bi taga retarra ekɔlsɔra,tous les matins il allait en retard à lécole,44,44
a ye son fla obiɛ kelen ta,nous embarquions deux ou trois seaux deau,26,41
nin pirazi ni a bi sosiete dusu suma,cette phrase glaçait la société,36,31
o ya tɔgɔla ki vildeinion,il est nommé daprès la ville de union,25,37
a tun bi fɔɔlɔfɔɔlɔ cɛfariw ka vi rako tera,il raconte lhistoire tragique des héros rostam et de son fils sohrâb,43,68
an ka provɛnsi ɲamɔgɔ yi nanalan ne ye na ka hakili kuntan,notre provincial est un imbécile avec sa profonde politique,58,59
a ka sayara a ka den kɔrɔba le ya ka pilasi ta,à sa mort son fils ainé lludd lui succède,46,41
titri ni bi fɛn camana dans ni fɛstival,le titre est inclus dans plusieurs compilations de dance ainsi que de festivals,39,79
plak nunu tun ta tɔhɔra dɔ tun ba fɛ,les plaques n’étaient pas à son nom et il en avait d’autres,36,59
kalandenw manca an ga gwata jukɔrɔ,il y a peu délèves à mon stand,34,30
a sitiye nin le komine perus ra,il est situé dans la commune de pérouse,31,39
diyɛn bɛɛ kɔnɔ fantanw beyi ani wari tigiw,dans le monde entier il y a riches et des pauvres,42,49
tɛmɛsira dɔ bi sira dɔ yira,un passage à niveau permet à une route daccéder à une station dépuration,27,72
kɔm mediz dɔw il ɛ kapable ka ka selile dɔw yira,comme dautres méduses elle est capable de renouveler ses cellules,48,65
kalan ani ka vilaze tɔgɔ nunu korize,étude et correction des noms de villages,36,40
o sira ,aux voix ,7,9
ferireri denideni na le an bi se ka fɛn caaman sɔrɔ,c’est dans les petits commerces que l’on peut trouver les meilleurs babioles,51,76
grɔte min o bi sa ma ni asansɛr ye,la grotte de de profondeur est accessible par ascenseur,34,55
efɛktiveman nin sirata cogo nin purke amandeman nin dɛmɛ ti sira ɲuman ye,effectivement la méthode suivie pour l’examen de cet amendement n’est pas acceptable,73,84
ni tun ba fɛ,lui il aimait,12,13
a tun be mɔgɔbɛ tytoiyela,il tutoyait tout le monde,25,25
yɔrɔ sumana,du silence simposa,11,18
a kadi kossèbê,le fer a un goût,14,17
mogô te kouma na,personne ne parlait,16,19
ika gan abikèdi,tu as pris la lorgnette ,15,24
fo kɔnɔ la mɛri ɛstradi,au fond l’estrade du maire,23,26
lɛri ɲuman la,à la bonne heure,13,16
aw bé angilɛ kan fɔ wa,vous parlez anglais ,22,20
wuru ka siranya,la peur des chiens,15,18
ofoyi ka kare tan ni wɔrɔnan,rue doffoy au numéro seize,28,26
ɲanagwɛya ni kalan,echange et formation,18,20
aw be mule fɛ,que recommandezvous ,13,20
gwalek ka sira fɔlɔ,route de goaleuc au numéro un,19,29
he a ɲɛna he ile wa,eh bien… et vous…,19,17
diya bɛrɛbɛrɛ ti la,tu n’as pas mauvais goût,19,25
pɛngle fɛ jibo ,chez pinglet à passy,15,20
tlokɛ ka fɔ ko janvaljan,joue dit jean valjean,24,21
cogojuman an bina a bila yan ,comment posez ça là ,29,20
a ɲan na ka ɲɛ,c’est bien plus,14,15
thomas bangê râ polongne,thomas vit à cologne,24,20
i dôgô mousso toun kadi nyé,j’aimais ta sœur,27,16
a sɔngɔ cayala i ma,ça t’a coûté cher,19,17
n sunɔgɔra ka ɲɛ,j’ai positivement dormi…,16,24
mɔgɔ si tɛ fɛ ka fanga ta,personne ne veut régner,25,23
aw ti se ka n balo,vous n’avez pas à me nourrir,18,28
émile parrot sira belfort,rue émile parrot belfort,25,24
sapɛl fitini nin cɛ ka ɲi,une jolie petite chapelle,25,25
i tun be mule kɛra yi,que diable faisiezvous,21,22
kabako n ka cilike gɛrɛ fɛ,merde jai cliqué à côté,26,23
n be na wari caman sɔrɔ,je ferai fortune,23,16
a i ɲanafin bi n na fatimi,vous me manquez énormément,26,26
omɛr tun be tagala a ka jo kan,omer se rendait à ces raisons,30,29
a ba ka sɛbɛriw kɛ arabu kan na,il écrit ses poèmes en arabe,31,28
a sera ka mun le fɔ,qu’atelle pu dire …,19,19
n ka lon ko n ka ko kadi ye,je suis sûr que tu aimais,27,25
alimɛti boiti kelen bin bolo,j’ai une boîte d’allumettes,28,27
kibo buse ya plasi min beyi gedɔn ,place du cubo bousset à jegun,34,29
mɔrwena boromafara,le bras de morwena,18,18
jaridɛn,une histoire vraie,7,18
a juru sara,la riposte est automatique,11,26
mun ɲiningali lo tun be kɛla sɔɔni,que demandaiton peu,34,19
kɛmɛ wɔrɔ sirajuru fila biro,trois mille deux chemin birot,28,29
sira naani abe ann,quatre rue abbé anne,18,20
piɛr lɛnbre sira min bé ras,rue pierre lembrez à râches,27,27
sɛtɛri bi kan ka see,il doit être sept heures,20,24
massa sata deencɛ filanan,second fils du roi satha,25,24
o yɔrɔtɛ yan le bɛ,pas par là c’est par ici ,18,25
a fɔɔ a ye ko i sera i danna,répètelui que tu es à bout,28,26
lisi mi be kan ka telesarge,cf la liste à télécharger,27,25
